Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Purple binder service type,canonical_Zip,canonical_Site name,canonical_Program Name,canonical_Agency,canonical_Source,canonical_Eearly Head Start Fund,canonical_Length of Day,canonical_NAEYC Program Id,canonical_Website,canonical_Program Option,canonical_Fax,canonical_Head Start Fund,canonical_Ounce of Prevention Description,canonical_NAEYC Valid Until,canonical_Director,canonical_Phone,canonical_Address,canonical_ECE Available Programs,canonical_CC fund,canonical_Email Address,canonical_Column,canonical_Center Director,canonical_Funded Enrollment,canonical_Column2,canonical_Number per Site EHS,canonical_Neighborhood,canonical_Progmod,canonical_IDHS Provider ID,canonical_Number per Site HS,canonical_Executive Director,canonical_Id
6,0.9516487717628479,12,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,catholic charities of the archdiocese of chicago - st. kevin,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,3746466,10509 s torrence ave,,,,,,,,,,,,,,12
816,,13,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Community Learning Center,10612 S Wentworth ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.9516487717628479,14,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,catholic charities of the archdiocese of chicago - cordia marian,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,6663787,1100 s may st,,,,,,,,,,,,,,1231
7,0.9516487717628479,15,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,catholic charities of the archdiocese of chicago - cordia marian,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,6663787,1100 s may st,,,,,,,,,,,,,,1231
817,,16,CPS_Early_Childhood_Portal_scrape.csv, Thresholds - Thresholds Mothers' Project,1110 W Belmont Ave ,,4723558,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.9516487717628479,17,CPS_Early_Childhood_Portal_scrape.csv, Bethel New Life - Molade Child Development Center,1120 N Lamon Ave ,,6267760,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,bethel new life - molade child development center,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,6267760,1120 n lamon ave,,,,,,,,,,,,,,1233
9,0.9516487717628479,18,CPS_Early_Childhood_Portal_scrape.csv, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,south east asia center - south-east asia center(ainslie),state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,,part day/full day,,,,,,,,,9897433,1124 w ainslie st,,,,,,,,,,,,,,18
10,0.9516487717628479,19,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,ada s. mckinley community services - mckinley - roseland,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,4681918,11410 s edbrooke ave,,,,,,,,,,,,,,1235
10,0.9516487717628479,20,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,ada s. mckinley community services - mckinley - roseland,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,4681918,11410 s edbrooke ave,,,,,,,,,,,,,,1235
11,0.9516488,21,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Truman,1145 W Wilson Ave ,,8781700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,board trustees-city colleges of chicago - truman,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,8781700,1145 w wilson ave,,,,,,,,,,,,,,21
12,0.9516487717628479,22,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,chicago state university - gingerbread house,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,9284041,11640 s wentworth ave,,,,,,,,,,,,,,23
12,0.9516487717628479,23,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,chicago state university - gingerbread house,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,9284041,11640 s wentworth ave,,,,,,,,,,,,,,23
13,0.9516487717628479,24,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,chicago state university - academy of early education,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,7858163,124 e 113th st,,,,,,,,,,,,,,24
13,0.9516487717628479,25,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,chicago state university - academy of early education,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,7858163,124 e 113th st,,,,,,,,,,,,,,24
14,0.9516488,26,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear,1300 E 75th St ,,4930000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,easter seals society of metropolitan chicago - stepping stones early/childhood lear,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,4930000,1300 e 75th st,,,,,,,,,,,,,,26
15,0.9516487717628479,27,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,marcy newberry association - fosco abla center,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,7466024,1312 s racine ave,,,,,,,,,,,,,,28
15,0.9516487717628479,28,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,marcy newberry association - fosco abla center,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,7466024,1312 s racine ave,,,,,,,,,,,,,,28
16,0.9516488,29,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Incarnation / Salvation Army,1345 N Karlov Ave ,,2764118,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,salvation army - incarnation / salvation army,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,2764118,1345 n karlov ave,,,,,,,,,,,,,,29
17,0.9516487717628479,30,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Hope Presbyterian Church,1354 W 61st St ,,4715100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,abraham lincoln centre - hope presbyterian church,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,4715100,1354 w 61st st,,,,,,,,,,,,,,30
18,0.9474452223096576,31,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60623,catholic charities of the archdiocese of chicago - our lady of lourdes,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,deborah o'brien,half day/full day,,yes,north lawndale,,,,deborah o'brien,,5213126,1449 s keeler,laura rios,yes,,,www.catholiccharities.net,catholic charities of the archdiocese of chicago,,,,no,,,"2488it(child care it center), 7030ps(hs collaboration with c",32
18,0.9474452223096576,32,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60623,catholic charities of the archdiocese of chicago - our lady of lourdes,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,deborah o'brien,half day/full day,,yes,north lawndale,,,,deborah o'brien,,5213126,1449 s keeler,laura rios,yes,,,www.catholiccharities.net,catholic charities of the archdiocese of chicago,,,,no,,,"2488it(child care it center), 7030ps(hs collaboration with c",32
19,0.9516488,33,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - North Austin / LSSI,1500 N Mason Ave ,,2371930,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,lutheran social services of illinois - north austin / lssi,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,2371930,1500 n mason ave,,,,,,,,,,,,,,33
20,0.9516488,34,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,marcy newberry association - new birth,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,4710699,1500 w 69th st,,,,,,,,,,,,,,34
21,0.9516488,35,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Mt. Moriah-Taylor / CYC,1501 N Harding Ave ,,2785837,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,chicago youth centers - mt. moriah-taylor / cyc,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,2785837,1501 n harding ave,,,,,,,,,,,,,,35
22,0.9515434131026268,36,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60623,marcy newberry association - marcy center,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,7612300,1539 s springfield ave,,,,,,,child care,,,,,,,37
22,0.9515434131026268,37,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60623,marcy newberry association - marcy center,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,7612300,1539 s springfield ave,,,,,,,child care,,,,,,,37
23,0.9516488,38,CPS_Early_Childhood_Portal_scrape.csv, Mary Crane League - Mary Crane - Morse,1545 W Morse Ave ,,2621390,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,mary crane league - mary crane - morse,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,2621390,1545 w morse ave,,,,,,,,,,,,,,38
24,0.9516488,39,CPS_Early_Childhood_Portal_scrape.csv, South Shore Bible - Maranatha,1631 E 71st St ,,4937500,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,south shore bible - maranatha,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,4937500,1631 e 71st st,,,,,,,,,,,,,,39
25,0.9456235408782959,40,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Taylor Center for New Experiences,1633 N Hamlin Ave ,,2278551,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60647,chicago commons association - taylor center for new experiences,head start,,cps_early_childhood_portal_scrape.csv,nilda vargas,extended day,,yes,humboldt park,,,,vanessa powell,,2278551,1633 n hamlin,dan valliere,yes,,,www.chicagocommons.org,chicago commons association,,,,no,,,"2629it(child care it center), 3401ps(hs collaboration with c",40
26,0.9516488,41,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Ebenezer,1652 W Foster Ave ,,8789925,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,catholic charities of the archdiocese of chicago - ebenezer,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,8789925,1652 w foster ave,,,,,,,,,,,,,,41
27,0.9486872851848602,42,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Paulo Freire,1653 W 43rd St ,,8262669,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60609,chicago commons association - paulo freire,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,8262669,1653 w 43rd st,,,,,,,child care,,,,,,,42
28,0.9467272361119589,43,CPS_Early_Childhood_Portal_scrape.csv, Erie Neighborhood House - Erie Community Center,1701 W Superior St ,,5635800,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60622,erie neighborhood house - erie community center,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,celena roldan,half day/full day,,no,west town,,,,celena roldan,,5635800,1701 w superior,celena roldan,yes,,,www.eriehouse.org,erie neighborhood house,,,,no,,,"2640it(child care it center), 3256ps(hs collaboration with c",43
29,0.9516487717628479,44,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes I,1711 W 35th St ,,2547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,el valor - little tykes i,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,2547700,1711 w 35th st,,,,,,,,,,,,,,591
29,0.9516487717628479,45,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes I,1711 W 35th St ,,2547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,el valor - little tykes i,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,2547700,1711 w 35th st,,,,,,,,,,,,,,591
818,,46,CPS_Early_Childhood_Portal_scrape.csv, ChildServ - Pilsen,1711 W Garfield Blvd ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.9516487717628479,47,CPS_Early_Childhood_Portal_scrape.csv, El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis,1718 S Loomis Blvd ,,5639796,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,el hogar del nino/cuidar - el hogar del nino/el centro - loomis,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,5639796,1718 s loomis blvd,,,,,,,,,,,,,,593
30,0.9516487717628479,48,CPS_Early_Childhood_Portal_scrape.csv, El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis,1718 S Loomis Blvd ,,5639796,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,el hogar del nino/cuidar - el hogar del nino/el centro - loomis,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,5639796,1718 s loomis blvd,,,,,,,,,,,,,,593
31,0.9460562348365784,49,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes II,1723 W 35th St ,,5791791,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60609,el valor - little tykes ii,child care,,cps_early_childhood_portal_scrape.csv,laura gonzalez,extended day,,no,mckinley park,,,,laura gonzalez,,5791791,1723 w 35th st,vincent allocco,yes,,,www.elvalor.org,el valor,,,,no,,,,595
31,0.9460562348365784,50,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes II,1723 W 35th St ,,5791791,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60609,el valor - little tykes ii,child care,,cps_early_childhood_portal_scrape.csv,laura gonzalez,extended day,,no,mckinley park,,,,laura gonzalez,,5791791,1723 w 35th st,vincent allocco,yes,,,www.elvalor.org,el valor,,,,no,,,,595
32,0.9516488,51,CPS_Early_Childhood_Portal_scrape.csv, Church of God True Believers - Church of God Day Care,1738 W Marquette Rd ,,4715222,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,church of god true believers - church of god day care,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,4715222,1738 w marquette rd,,,,,,,,,,,,,,51
33,0.9516488,52,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - Rogers Park / LSSI,1754 W Devon Ave ,,2623366,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,lutheran social services of illinois - rogers park / lssi,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,2623366,1754 w devon ave,,,,,,,,,,,,,,52
34,0.9483435352643331,53,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,6663883,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,chicago commons association - guadalupano family center,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,migdalia young,half day/full day,,yes,lower west side,,,,esmeralda arroyo,,6663883,1814 s paulina st,dan valliere,yes,,,www.chicagocommons.org,chicago commons association,,,,no,,,"2613it(child care it center), 3403ps(hs collaboration with c",1247
34,0.9483435352643331,54,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,6663883,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,chicago commons association - guadalupano family center,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,migdalia young,half day/full day,,yes,lower west side,,,,esmeralda arroyo,,6663883,1814 s paulina st,dan valliere,yes,,,www.chicagocommons.org,chicago commons association,,,,no,,,"2613it(child care it center), 3403ps(hs collaboration with c",1247
35,0.9516487717628479,55,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - McCormick Tribune- YMCA,1834 N Lawndale Ave ,,2352525,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,ymca of metropolitan chicago - mccormick tribune- ymca,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,2352525,1834 n lawndale ave,,,,,,,,,,,,,,55
36,0.9516487717628479,56,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St ,,8507000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,board trustees-city colleges of chicago - malcolm x college,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,8507000,1900 w van buren st,,,,,,,,,,,,,,607
36,0.9516487717628479,57,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St ,,8507000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,board trustees-city colleges of chicago - malcolm x college,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,8507000,1900 w van buren st,,,,,,,,,,,,,,607
37,0.947916305065155,58,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Guadalupe Reyes Children & Family Center,1951 W 19th St ,,9972021,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,el valor - guadalupe reyes children & family center,child care,,cps_early_childhood_portal_scrape.csv,lydia marcos,extended day,,yes,lower west side,,,,rosa moreno,,9972021,1951 w 19th st,vincent allocco,yes,,,www.elvalor.org,el valor,,,,no,,,"4141ps(child care ps center), 7026ps(hs collaboration with c",614
37,0.947916305065155,59,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Guadalupe Reyes Children & Family Center,1951 W 19th St ,,9972021,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60608,el valor - guadalupe reyes children & family center,child care,,cps_early_childhood_portal_scrape.csv,lydia marcos,extended day,,yes,lower west side,,,,rosa moreno,,9972021,1951 w 19th st,vincent allocco,yes,,,www.elvalor.org,el valor,,,,no,,,"4141ps(child care ps center), 7026ps(hs collaboration with c",614
38,0.9463488161563873,60,CPS_Early_Childhood_Portal_scrape.csv, North Avenue Day Nursery - North Avenue Day Nursery,2001 W Pierce Ave ,,3424499,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60622,north avenue day nursery - north avenue day nursery,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,steve koll,half day/full day,,yes,west town,,,,steve koll,,3424499,2001 w pierce,steve koll,yes,,,www.nadnkids.org,north avenue day nursery,,,,no,,,"3270ps(hs collaboration with childcare & prek), 2742ps(child",1854
